"...1","X","address","nhood","lat","long","month","year","block","street_name","street_type","centroid_lat","centroid_long","year_nhood","month_year_nhood","dummy"
6011,9364,"1900 Block Of Vallejo  Street","Marina",37.7959582064459,-122.429360325189,10,2018,1900,"Vallejo","Street",37.802877,-122.436969,"2018 Marina","10 2018 Marina",1
6012,9366,"300 Block Of Lincoln  Way","Inner Sunset",37.7660888288555,-122.461623803538,12,2017,300,"Lincoln","Way",37.762068,-122.467189,"2017 Inner Sunset","12 2017 Inner Sunset",1
6013,9368,"0 Block Of Minerva  Street","Oceanview/Merced/Ingleside",37.7157448411751,-122.454797192825,6,2013,0,"Minerva","Street",37.718959,-122.462039,"2013 Oceanview/Merced/Ingleside","6 2013 Oceanview/Merced/Ingleside",1
6014,9370,"100 Block Of North Point  Street","North Beach",37.807063083442,-122.409697447169,4,2014,100,"North Point","Street",37.799254,-122.407458,"2014 North Beach","4 2014 North Beach",1
6015,9371,"300 Block Of Lyon  Street","Lone Mountain/USF",37.7738915285418,-122.442659855834,3,2017,300,"Lyon","Street",37.777975,-122.452816,"2017 Lone Mountain/USF","3 2017 Lone Mountain/USF",1
6016,9372,"4100 Block Of Fulton  Street","Outer Richmond",37.7729376347849,-122.476153916045,3,2014,4100,"Fulton","Street",37.776683,-122.489908,"2014 Outer Richmond","3 2014 Outer Richmond",1
6017,9373,"200 Block Of Saint Charles  Avenue","Oceanview/Merced/Ingleside",37.709627737003,-122.469279596025,9,2014,200,"Saint Charles","Avenue",37.718959,-122.462039,"2014 Oceanview/Merced/Ingleside","9 2014 Oceanview/Merced/Ingleside",1
6018,9374,"700 Block Of 36th  Avenue","Outer Richmond",NA,NA,5,2014,700,"36th","Avenue",37.776683,-122.489908,"2014 Outer Richmond","5 2014 Outer Richmond",1
6019,9376,"300 Block Of Columbus  Avenue","Chinatown",37.7984244584983,-122.407476211142,7,2013,300,"Columbus","Avenue",37.795073,-122.40635,"2013 Chinatown","7 2013 Chinatown",1
6020,9377,"1400 Block Of 11th  Avenue","Inner Sunset",37.7611493821524,-122.468255894772,11,2013,1400,"11th","Avenue",37.762068,-122.467189,"2013 Inner Sunset","11 2013 Inner Sunset",1
6021,9378,"700 Block Of 02nd  Avenue","Inner Richmond",37.7748666964644,-122.459537307351,7,2016,700,"02nd","Avenue",37.778849,-122.468955,"2016 Inner Richmond","7 2016 Inner Richmond",1
6022,9379,"0 Block Of Harrington  Street","Excelsior/Outer Mission",37.7256169858308,-122.435349430863,9,2014,0,"Harrington","Street",37.709585,-122.455082,"2014 Outer Mission","9 2014 Outer Mission",1
6023,9381,"1600 Block Of 31st  Avenue","Sunset/Parkside",37.756470549901,-122.489525033163,10,2013,1600,"31st","Avenue",37.749026,-122.493742,"2013 Sunset/Parkside","10 2013 Sunset/Parkside",1
6024,9383,"1000 Block Of Munich  Street","Excelsior/Outer Mission",37.7117110604101,-122.433763476252,7,2013,1000,"Munich","Street",37.7223,-122.431224,"2013 Excelsior","7 2013 Excelsior",1
6025,9385,"3500 Block Of 20th  Street","Mission",37.7585648246321,-122.420174074744,11,2012,3500,"20th","Street",37.758338,-122.414678,"2012 Mission","11 2012 Mission",1
6026,9386,"0 Block Of University  Street","Portola",37.7299108012311,-122.415486896938,4,2016,0,"University","Street",37.72647,-122.407642,"2016 Portola","4 2016 Portola",1
6027,9388,"3400 Block Of 16th  Street","Castro/Upper Market",37.7644845489359,-122.429046492653,6,2013,3400,"16th","Street",37.758812,-122.435644,"2013 Castro/Upper Market","6 2013 Castro/Upper Market",1
6028,9389,"300 Block Of Capp  Street","Mission",37.7611013135846,-122.418194718739,9,2013,300,"Capp","Street",37.758338,-122.414678,"2013 Mission","9 2013 Mission",1
6029,9390,"0 Block Of Chumasero  Drive","Lakeshore",37.7132784582678,-122.472924130809,11,2018,0,"Chumasero","Drive",37.71872,-122.477916,"2018 Lakeshore","11 2018 Lakeshore",1
6030,9392,"500 Block Of Arballo  Drive","Lakeshore",37.7183942193985,-122.48315160171,3,2018,500,"Arballo","Drive",37.71872,-122.477916,"2018 Lakeshore","3 2018 Lakeshore",1
6031,9397,"300 Block Of Hugo  Street","Inner Sunset",37.7651855506799,-122.461559530305,4,2018,300,"Hugo","Street",37.762068,-122.467189,"2018 Inner Sunset","4 2018 Inner Sunset",1
6032,9398,"0 Block Of Edgar  Place","Oceanview/Merced/Ingleside",37.7208687371099,-122.452175871842,4,2014,0,"Edgar","Place",37.718959,-122.462039,"2014 Oceanview/Merced/Ingleside","4 2014 Oceanview/Merced/Ingleside",1
6033,9400,"0 Block Of Stillman  Street","Financial District/South Beach/SOMA",37.7826269009355,-122.395265031654,10,2018,0,"Stillman","Street",37.793213,-122.398187,"2018 Financial District/South Beach","10 2018 Financial District/South Beach",1
6034,9401,"1700 Block Of Oakdale  Avenue","Bayview Hunters Point",37.7361948104741,-122.393153240893,10,2015,1700,"Oakdale","Avenue",37.730696,-122.388515,"2015 Bayview Hunters Point","10 2015 Bayview Hunters Point",1
6035,9402,"1600 Block Of Lombard  Street","Marina",37.8008445591347,-122.428660096265,10,2015,1600,"Lombard","Street",37.802877,-122.436969,"2015 Marina","10 2015 Marina",1
6036,9406,"0 Block Of Montezuma  Street","Bernal Heights",37.7459628714554,-122.416328521456,3,2014,0,"Montezuma","Street",37.741391,-122.414033,"2014 Bernal Heights","3 2014 Bernal Heights",1
6037,9409,"2100 Block Of Beach  Street","Marina",37.8035988155452,-122.444436448958,12,2012,2100,"Beach","Street",37.802877,-122.436969,"2012 Marina","12 2012 Marina",1
6038,9412,"300 Block Of Buchanan  Street","Haight Ashbury/Hayes Valley",37.7727633052054,-122.427209423121,6,2015,300,"Buchanan","Street",37.776425,-122.426235,"2015 Hayes Valley","6 2015 Hayes Valley",1
6039,9413,"2700 Block Of Folsom  Street","Mission",37.7533024746416,-122.414159771107,2,2016,2700,"Folsom","Street",37.758338,-122.414678,"2016 Mission","2 2016 Mission",1
6040,9415,"1300 Block Of Golden Gate  Avenue","Western Addition",37.7794593688973,-122.432773871804,7,2014,1300,"Golden Gate","Avenue",37.780587,-122.43451,"2014 Western Addition","7 2014 Western Addition",1
6041,9416,"2200 Block Of Pine  Street","Pacific Heights",37.788002453521,-122.43323634246,8,2016,2200,"Pine","Street",37.792182,-122.432784,"2016 Pacific Heights","8 2016 Pacific Heights",1
6042,9419,"100 Block Of Beacon  Street","Glen Park/Noe Valley",37.7388242110632,-122.430929553526,5,2015,100,"Beacon","Street",37.735976,-122.434464,"2015 Glen Park","5 2015 Glen Park",1
6043,9420,"2300 Block Of 24th  Avenue","Sunset/Parkside",37.7437477943186,-122.481115373304,2,2012,2300,"24th","Avenue",37.749026,-122.493742,"2012 Sunset/Parkside","2 2012 Sunset/Parkside",1
6044,9421,"6200 Block Of 03rd  Street","Bayview Hunters Point",37.72209027263,-122.395853648252,4,2015,6200,"03rd","Street",37.730696,-122.388515,"2015 Bayview Hunters Point","4 2015 Bayview Hunters Point",1
6045,9423,"0 Block Of Chumasero  Drive","Lakeshore",37.7132784582678,-122.472924130809,8,2014,0,"Chumasero","Drive",37.71872,-122.477916,"2014 Lakeshore","8 2014 Lakeshore",1
6046,9424,"3300 Block Of 17th  Street","Mission",37.7633376628875,-122.421082171604,8,2013,3300,"17th","Street",37.758338,-122.414678,"2013 Mission","8 2013 Mission",1
6047,9426,"0 Block Of Oliver  Street","Excelsior/Outer Mission",37.7089357462708,-122.450172763268,1,2014,0,"Oliver","Street",37.7223,-122.431224,"2014 Excelsior","1 2014 Excelsior",1
6048,9431,"900 Block Of Valencia  Street","Mission",37.7580999635448,-122.421232797505,12,2015,900,"Valencia","Street",37.758338,-122.414678,"2015 Mission","12 2015 Mission",1
6049,9434,"100 Block Of Hugo  Street","Inner Sunset",37.7652805524384,-122.459416763065,8,2013,100,"Hugo","Street",37.762068,-122.467189,"2013 Inner Sunset","8 2013 Inner Sunset",1
6050,9437,"1600 Block Of Grove  Street","Lone Mountain/USF",37.7751908098526,-122.443769154485,5,2013,1600,"Grove","Street",37.777975,-122.452816,"2013 Lone Mountain/USF","5 2013 Lone Mountain/USF",1
6051,9439,"400 Block Of Broadway  Street","North Beach",37.7981707082765,-122.404271477963,3,2017,400,"Broadway","Street",37.799254,-122.407458,"2017 North Beach","3 2017 North Beach",1
6052,9442,"500 Block Of Larkin  Street","Tenderloin",37.7828449159243,-122.417433827479,3,2017,500,"Larkin","Street",37.784141,-122.414748,"2017 Tenderloin","3 2017 Tenderloin",1
6053,9443,"2800 Block Of Octavia  Street","Marina",37.7983914652444,-122.429008107913,3,2018,2800,"Octavia","Street",37.802877,-122.436969,"2018 Marina","3 2018 Marina",1
6054,9444,"1400 Block Of 21st  Avenue","Sunset/Parkside",37.7606716694828,-122.479070763913,10,2015,1400,"21st","Avenue",37.749026,-122.493742,"2015 Sunset/Parkside","10 2015 Sunset/Parkside",1
6055,9449,"1600 Block Of Market  Street","Mission",NA,NA,6,2014,1600,"Market","Street",37.758338,-122.414678,"2014 Mission","6 2014 Mission",1
6056,9450,"800 Block Of Fulton  Street","Haight Ashbury/Hayes Valley",37.7777547017458,-122.43114381967,8,2017,800,"Fulton","Street",37.776425,-122.426235,"2017 Hayes Valley","8 2017 Hayes Valley",1
6057,9451,"1900 Block Of Franklin  Street","Pacific Heights",37.7924033907364,-122.424429233886,10,2013,1900,"Franklin","Street",37.792182,-122.432784,"2013 Pacific Heights","10 2013 Pacific Heights",1
6058,9452,"600 Block Of Eddy  Street","Tenderloin",37.7832061469448,-122.418355240671,4,2012,600,"Eddy","Street",37.784141,-122.414748,"2012 Tenderloin","4 2012 Tenderloin",1
6059,9455,"0 Block Of Turk  Street","Tenderloin",37.7833320081752,-122.409842741696,8,2017,0,"Turk","Street",37.784141,-122.414748,"2017 Tenderloin","8 2017 Tenderloin",1
6060,9459,"300 Block Of Arballo  Drive","Lakeshore",37.7208297750934,-122.482997342081,4,2018,300,"Arballo","Drive",37.71872,-122.477916,"2018 Lakeshore","4 2018 Lakeshore",1
6061,9461,"100 Block Of Gonzalez  Drive","Lakeshore",37.717808562167,-122.475321071851,12,2015,100,"Gonzalez","Drive",37.71872,-122.477916,"2015 Lakeshore","12 2015 Lakeshore",1
6062,9462,"1600 Block Of Lombard  Street","Marina",37.8008445591347,-122.428660096265,10,2012,1600,"Lombard","Street",37.802877,-122.436969,"2012 Marina","10 2012 Marina",1
6063,9463,"1400 Block Of Broderick  Street","Japantown",37.7834026811198,-122.441206713073,12,2014,1400,"Broderick","Street",37.78584,-122.429952,"2014 Japantown","12 2014 Japantown",1
6064,9466,"0 Block Of Bruce  Avenue","Oceanview/Merced/Ingleside",37.7221228508372,-122.45261053099,8,2012,0,"Bruce","Avenue",37.718959,-122.462039,"2012 Oceanview/Merced/Ingleside","8 2012 Oceanview/Merced/Ingleside",1
6065,9467,"400 Block Of Arguello  Boulevard","Inner Richmond",37.7822228630722,-122.458928529252,4,2014,400,"Arguello","Boulevard",37.778849,-122.468955,"2014 Inner Richmond","4 2014 Inner Richmond",1
6066,9468,"200 Block Of Ellington  Avenue","Excelsior/Outer Mission",37.7134186978679,-122.44517457802,5,2017,200,"Ellington","Avenue",37.709585,-122.455082,"2017 Outer Mission","5 2017 Outer Mission",1
6067,9469,"2200 Block Of 41st  Avenue","Sunset/Parkside",37.7448092077575,-122.499459341709,8,2016,2200,"41st","Avenue",37.749026,-122.493742,"2016 Sunset/Parkside","8 2016 Sunset/Parkside",1
6068,9470,"100 Block Of Grand View  Avenue","Twin Peaks",37.7554330776508,-122.440342008271,5,2012,100,"Grand View","Avenue",37.753375,-122.445652,"2012 Twin Peaks","5 2012 Twin Peaks",1
6069,9473,"100 Block Of Crespi  Drive","Lakeshore",37.7190695324334,-122.477069560336,3,2015,100,"Crespi","Drive",37.71872,-122.477916,"2015 Lakeshore","3 2015 Lakeshore",1
6070,9474,"1600 Block Of Kirkham  Street","Sunset/Parkside",37.7597609600388,-122.478471024754,9,2017,1600,"Kirkham","Street",37.749026,-122.493742,"2017 Sunset/Parkside","9 2017 Sunset/Parkside",1
6071,9476,"100 Block Of 19th  Avenue","Outer Richmond",37.7851026272693,-122.478646204007,10,2011,100,"19th","Avenue",37.776683,-122.489908,"2011 Outer Richmond","10 2011 Outer Richmond",1
6072,9477,"600 Block Of Ellis  Street","Tenderloin",37.7843422922783,-122.416889243877,6,2018,600,"Ellis","Street",37.784141,-122.414748,"2018 Tenderloin","6 2018 Tenderloin",1
6073,9479,"3800 Block Of 21st  Street","Glen Park/Noe Valley",37.7561597418629,-122.433438587329,2,2017,3800,"21st","Street",37.747095,-122.431421,"2017 Noe Valley","2 2017 Noe Valley",1
6074,9481,"900 Block Of Scott  Street","Western Addition",37.778472074143,-122.436790628219,1,2014,900,"Scott","Street",37.780587,-122.43451,"2014 Western Addition","1 2014 Western Addition",1
6075,9482,"1700 Block Of Revere  Avenue","Bayview Hunters Point",NA,NA,9,2011,1700,"Revere","Avenue",37.730696,-122.388515,"2011 Bayview Hunters Point","9 2011 Bayview Hunters Point",1
6076,9484,"500 Block Of Battery  Street","Financial District/South Beach/SOMA",37.796325923258,-122.400583436818,7,2012,500,"Battery","Street",37.793213,-122.398187,"2012 Financial District/South Beach","7 2012 Financial District/South Beach",1
6077,9486,"100 Block Of Gates  Street","Bernal Heights",37.7409193696006,-122.413872514132,8,2016,100,"Gates","Street",37.741391,-122.414033,"2016 Bernal Heights","8 2016 Bernal Heights",1
6078,9487,"600 Block Of Alvarado  Street","Glen Park/Noe Valley",37.7536063874731,-122.435419930424,10,2014,600,"Alvarado","Street",37.747095,-122.431421,"2014 Noe Valley","10 2014 Noe Valley",1
6079,9489,"900 Block Of Larkin  Street","Tenderloin",37.7868019649404,-122.418224918157,6,2012,900,"Larkin","Street",37.784141,-122.414748,"2012 Tenderloin","6 2012 Tenderloin",1
6080,9490,"6100 Block Of California  Street","Outer Richmond",37.7839550684606,-122.483403100566,8,2018,6100,"California","Street",37.776683,-122.489908,"2018 Outer Richmond","8 2018 Outer Richmond",1
6081,9491,"1400 Block Of Oakdale  Avenue","Bayview Hunters Point",37.7330001799589,-122.387550344001,1,2013,1400,"Oakdale","Avenue",37.730696,-122.388515,"2013 Bayview Hunters Point","1 2013 Bayview Hunters Point",1
6082,9492,"300 Block Of Cardenas  Avenue","Lakeshore",37.7190011330921,-122.475197506824,6,2016,300,"Cardenas","Avenue",37.71872,-122.477916,"2016 Lakeshore","6 2016 Lakeshore",1
6083,9495,"1600 Block Of Greenwich  Street","Marina",37.8000517744894,-122.427216452487,8,2015,1600,"Greenwich","Street",37.802877,-122.436969,"2015 Marina","8 2015 Marina",1
6084,9496,"600 Block Of Haight  Street","Haight Ashbury/Hayes Valley",37.771792772091,-122.432913538607,6,2017,600,"Haight","Street",37.76991,-122.447678,"2017 Haight Ashbury","6 2017 Haight Ashbury",1
6085,9497,"1200 Block Of Bush  Street","Nob Hill",37.7890098959553,-122.417836377447,11,2012,1200,"Bush","Street",37.793044,-122.414461,"2012 Nob Hill","11 2012 Nob Hill",1
6086,9498,"1300 Block Of 15th  Avenue","Inner Sunset",37.7628214697818,-122.472724597415,7,2016,1300,"15th","Avenue",37.762068,-122.467189,"2016 Inner Sunset","7 2016 Inner Sunset",1
6087,9500,"0 Block Of Buchanan  Street","Haight Ashbury/Hayes Valley",37.7700691805094,-122.426661071702,5,2015,0,"Buchanan","Street",37.776425,-122.426235,"2015 Hayes Valley","5 2015 Hayes Valley",1
6088,9501,"200 Block Of Santos  Street","Visitacion Valley",37.7091290863448,-122.41971543771,9,2015,200,"Santos","Street",37.713141,-122.408825,"2015 Visitacion Valley","9 2015 Visitacion Valley",1
6089,9503,"1000 Block Of Pacific  Avenue","Nob Hill",37.7961193515961,-122.41308160588,9,2015,1000,"Pacific","Avenue",37.793044,-122.414461,"2015 Nob Hill","9 2015 Nob Hill",1
6090,9504,"500 Block Of Moultrie  Street","Bernal Heights",37.7378314590565,-122.415897811209,6,2014,500,"Moultrie","Street",37.741391,-122.414033,"2014 Bernal Heights","6 2014 Bernal Heights",1
6091,9506,"400 Block Of 12th  Avenue","Inner Richmond",37.7797619815998,-122.470642181847,10,2014,400,"12th","Avenue",37.778849,-122.468955,"2014 Inner Richmond","10 2014 Inner Richmond",1
6092,9510,"600 Block Of Ellis  Street","Tenderloin",37.7843422922783,-122.416889243877,8,2014,600,"Ellis","Street",37.784141,-122.414748,"2014 Tenderloin","8 2014 Tenderloin",1
6093,9511,"500 Block Of Chenery  Street","Glen Park/Noe Valley",37.7350514098186,-122.431029310338,9,2015,500,"Chenery","Street",37.735976,-122.434464,"2015 Glen Park","9 2015 Glen Park",1
6094,9512,"800 Block Of Cortland  Avenue","Bernal Heights",37.7389059579451,-122.414248285473,4,2015,800,"Cortland","Avenue",37.741391,-122.414033,"2015 Bernal Heights","4 2015 Bernal Heights",1
6095,9513,"700 Block Of Jackson  Street","Chinatown",37.7959976663656,-122.40686801752,4,2016,700,"Jackson","Street",37.795073,-122.40635,"2016 Chinatown","4 2016 Chinatown",1
6096,9518,"0 Block Of Chumasero  Drive","Lakeshore",37.7132784582678,-122.472924130809,12,2016,0,"Chumasero","Drive",37.71872,-122.477916,"2016 Lakeshore","12 2016 Lakeshore",1
6097,9519,"2100 Block Of Stockton  Street","North Beach",37.8055629421339,-122.410217216647,2,2014,2100,"Stockton","Street",37.799254,-122.407458,"2014 North Beach","2 2014 North Beach",1
6098,9520,"300 Block Of Bridgeview  Drive","Bayview Hunters Point",37.7325550290618,-122.398636556803,5,2016,300,"Bridgeview","Drive",37.730696,-122.388515,"2016 Bayview Hunters Point","5 2016 Bayview Hunters Point",1
6099,9522,"0 Block Of 14th  Avenue","Seacliff",37.7867405795016,-122.473287874985,11,2016,0,"14th","Avenue",37.785975,-122.489522,"2016 Seacliff","11 2016 Seacliff",1
6100,9523,"1600 Block Of Grove  Street","Lone Mountain/USF",37.7751908098526,-122.443769154485,2,2014,1600,"Grove","Street",37.777975,-122.452816,"2014 Lone Mountain/USF","2 2014 Lone Mountain/USF",1
6101,9524,"2500 Block Of Moraga  Street","Sunset/Parkside",37.7555169025173,-122.489996541168,1,2016,2500,"Moraga","Street",37.749026,-122.493742,"2016 Sunset/Parkside","1 2016 Sunset/Parkside",1
6102,9525,"700 Block Of 02nd  Avenue","Inner Richmond",37.7748666964644,-122.459537307351,4,2012,700,"02nd","Avenue",37.778849,-122.468955,"2012 Inner Richmond","4 2012 Inner Richmond",1
6103,9526,"800 Block Of Van Ness  Avenue","Tenderloin",37.7836112136282,-122.420881404778,7,2014,800,"Van Ness","Avenue",37.784141,-122.414748,"2014 Tenderloin","7 2014 Tenderloin",1
6104,9527,"100 Block Of Bucareli  Drive","Lakeshore",37.7164491248514,-122.48066011888,2,2014,100,"Bucareli","Drive",37.71872,-122.477916,"2014 Lakeshore","2 2014 Lakeshore",1
6105,9529,"1000 Block Of Bush  Street","Nob Hill",37.7894245853819,-122.414550157761,7,2017,1000,"Bush","Street",37.793044,-122.414461,"2017 Nob Hill","7 2017 Nob Hill",1
6106,9530,"2900 Block Of 21st  Street","Mission",37.7573305552017,-122.41399416257,3,2018,2900,"21st","Street",37.758338,-122.414678,"2018 Mission","3 2018 Mission",1
6107,9531,"1700 Block Of Bay  Street","Marina",37.8027379719806,-122.435832963872,3,2013,1700,"Bay","Street",37.802877,-122.436969,"2013 Marina","3 2013 Marina",1
6108,9533,"100 Block Of Font  Boulevard","Lakeshore",37.7155014475134,-122.473671964909,1,2018,100,"Font","Boulevard",37.71872,-122.477916,"2018 Lakeshore","1 2018 Lakeshore",1
6109,9534,"100 Block Of Farallones  Street","Oceanview/Merced/Ingleside",37.7140660411444,-122.457548404738,7,2013,100,"Farallones","Street",37.718959,-122.462039,"2013 Oceanview/Merced/Ingleside","7 2013 Oceanview/Merced/Ingleside",1
6110,9536,"400 Block Of Eddy  Street","Tenderloin",NA,NA,2,2015,400,"Eddy","Street",37.784141,-122.414748,"2015 Tenderloin","2 2015 Tenderloin",1
6111,9537,"3400 Block Of 20th  Street","Mission",37.7587312522952,-122.417418594441,7,2016,3400,"20th","Street",37.758338,-122.414678,"2016 Mission","7 2016 Mission",1
6112,9539,"100 Block Of Cambon  Drive","Lakeshore",37.7166658976853,-122.474242229743,6,2015,100,"Cambon","Drive",37.71872,-122.477916,"2015 Lakeshore","6 2015 Lakeshore",1
6113,9540,"400 Block Of Silver  Avenue","Excelsior/Outer Mission",37.7285917340159,-122.427001428794,4,2016,400,"Silver","Avenue",37.7223,-122.431224,"2016 Excelsior","4 2016 Excelsior",1
6114,9541,"500 Block Of Scott  Street","Haight Ashbury/Hayes Valley",37.7747413043663,-122.436034644569,11,2016,500,"Scott","Street",37.776425,-122.426235,"2016 Hayes Valley","11 2016 Hayes Valley",1
6115,9542,"200 Block Of 09th  Avenue","Financial District/South Beach/SOMA",37.773984500846,-122.411890114239,12,2015,200,"09th","Avenue",37.779527,-122.405727,"2015 South of Market","12 2015 South of Market",1
6116,9544,"1400 Block Of Cole  Street","Inner Sunset",37.7612497657638,-122.449039822809,5,2016,1400,"Cole","Street",37.762068,-122.467189,"2016 Inner Sunset","5 2016 Inner Sunset",1
6117,9547,"0 Block Of Sunview  Drive","Twin Peaks",37.7472605372914,-122.446528595013,11,2014,0,"Sunview","Drive",37.753375,-122.445652,"2014 Twin Peaks","11 2014 Twin Peaks",1
6118,9550,"200 Block Of Van Ness  Avenue","Tenderloin",37.777531339913,-122.419663088254,2,2015,200,"Van Ness","Avenue",37.784141,-122.414748,"2015 Tenderloin","2 2015 Tenderloin",1
6119,9552,"7600 Block Of Geary  Boulevard","Outer Richmond",37.7794651559744,-122.501327922679,1,2012,7600,"Geary","Boulevard",37.776683,-122.489908,"2012 Outer Richmond","1 2012 Outer Richmond",1
6120,9554,"1500 Block Of Lombard  Street","Marina",37.8009289298602,-122.426990023772,4,2014,1500,"Lombard","Street",37.802877,-122.436969,"2014 Marina","4 2014 Marina",1
6121,9556,"1600 Block Of Vallejo  Street","Marina",37.7965861824876,-122.424425588318,5,2016,1600,"Vallejo","Street",37.802877,-122.436969,"2016 Marina","5 2016 Marina",1
6122,9557,"600 Block Of Clay  Street","Chinatown",37.7945596454451,-122.403967886217,10,2014,600,"Clay","Street",37.795073,-122.40635,"2014 Chinatown","10 2014 Chinatown",1
6123,9559,"300 Block Of Turk  Street","Tenderloin",37.7826897415954,-122.414873820111,5,2018,300,"Turk","Street",37.784141,-122.414748,"2018 Tenderloin","5 2018 Tenderloin",1
6124,9564,"100 Block Of Fell  Street","Haight Ashbury/Hayes Valley",37.7762638192135,-122.420327360597,9,2013,100,"Fell","Street",37.776425,-122.426235,"2013 Hayes Valley","9 2013 Hayes Valley",1
6125,9565,"2500 Block Of Greenwich  Street","Marina",37.7982181862258,-122.441633030901,5,2013,2500,"Greenwich","Street",37.802877,-122.436969,"2013 Marina","5 2013 Marina",1
6126,9569,"1300 Block Of Hampshire  Street","Mission",37.7505047886879,-122.407062232794,11,2012,1300,"Hampshire","Street",37.758338,-122.414678,"2012 Mission","11 2012 Mission",1
6127,9572,"300 Block Of 21st  Avenue","Outer Richmond",37.7812462751689,-122.480520320602,10,2018,300,"21st","Avenue",37.776683,-122.489908,"2018 Outer Richmond","10 2018 Outer Richmond",1
6128,9575,"2000 Block Of Mission  Street","Mission",37.7642403064304,-122.41959085459,4,2017,2000,"Mission","Street",37.758338,-122.414678,"2017 Mission","4 2017 Mission",1
6129,9576,"2300 Block Of Union  Street","Marina",37.7967748945559,-122.437958553162,7,2013,2300,"Union","Street",37.802877,-122.436969,"2013 Marina","7 2013 Marina",1
6130,9578,"800 Block Of Dolores  Street","Glen Park/Noe Valley",37.7558258581105,-122.425611613521,2,2012,800,"Dolores","Street",37.747095,-122.431421,"2012 Noe Valley","2 2012 Noe Valley",1
6131,9580,"100 Block Of 15th  Avenue","Outer Richmond",37.785304236262,-122.474314188478,6,2014,100,"15th","Avenue",37.776683,-122.489908,"2014 Outer Richmond","6 2014 Outer Richmond",1
6132,9581,"0 Block Of Moss  Street","Financial District/South Beach/SOMA",37.7777974191856,-122.408063173149,8,2014,0,"Moss","Street",37.779527,-122.405727,"2014 South of Market","8 2014 South of Market",1
6133,9582,"3100 Block Of San Jose  Avenue","Excelsior/Outer Mission",37.7092695988173,-122.457955750295,10,2011,3100,"San Jose","Avenue",37.709585,-122.455082,"2011 Outer Mission","10 2011 Outer Mission",1
6134,9583,"2200 Block Of 19th  Avenue","Sunset/Parkside",37.7458479817916,-122.475896713916,3,2015,2200,"19th","Avenue",37.749026,-122.493742,"2015 Sunset/Parkside","3 2015 Sunset/Parkside",1
6135,9584,"500 Block Of Post  Street","Nob Hill",37.7879771795976,-122.410878083347,8,2018,500,"Post","Street",37.793044,-122.414461,"2018 Nob Hill","8 2018 Nob Hill",1
6136,9587,"2700 Block Of 22nd  Street","Mission",37.7560265799216,-122.408966156211,5,2017,2700,"22nd","Street",37.758338,-122.414678,"2017 Mission","5 2017 Mission",1
6137,9588,"300 Block Of Lombard  Street","North Beach",37.8035651970814,-122.407106013354,6,2016,300,"Lombard","Street",37.799254,-122.407458,"2016 North Beach","6 2016 North Beach",1
6138,9590,"4400 Block Of Cabrillo  Street","Outer Richmond",37.7734316441603,-122.506284166732,12,2018,4400,"Cabrillo","Street",37.776683,-122.489908,"2018 Outer Richmond","12 2018 Outer Richmond",1
6139,9591,"600 Block Of Shotwell  Street","Mission",37.7580313220635,-122.415702748488,11,2014,600,"Shotwell","Street",37.758338,-122.414678,"2014 Mission","11 2014 Mission",1
6140,9596,"600 Block Of Mississippi  Street","Potrero Hill",37.7588669420453,-122.39422976808,1,2015,600,"Mississippi","Street",37.759056,-122.398618,"2015 Potrero Hill","1 2015 Potrero Hill",1
6141,9597,"1800 Block Of Washington  Street","Pacific Heights",37.792945710654,-122.42369457815,2,2015,1800,"Washington","Street",37.792182,-122.432784,"2015 Pacific Heights","2 2015 Pacific Heights",1
6142,9603,"800 Block Of Sacramento  Street","Chinatown",37.7932281779663,-122.407330485957,3,2017,800,"Sacramento","Street",37.795073,-122.40635,"2017 Chinatown","3 2017 Chinatown",1
6143,9604,"800 Block Of Vallejo  Street","Chinatown",37.7982689740574,-122.411276023366,10,2013,800,"Vallejo","Street",37.795073,-122.40635,"2013 Chinatown","10 2013 Chinatown",1
6144,9606,"2000 Block Of Lawton  Street","Sunset/Parkside",37.757612959357,-122.484770551038,10,2014,2000,"Lawton","Street",37.749026,-122.493742,"2014 Sunset/Parkside","10 2014 Sunset/Parkside",1
6145,9608,"300 Block Of Monterey  Boulevard","West of Twin Peaks",37.7315250871435,-122.443153565321,1,2014,300,"Monterey","Boulevard",37.737955,-122.460363,"2014 West of Twin Peaks","1 2014 West of Twin Peaks",1
6146,9609,"400 Block Of Ellis  Street","Tenderloin",37.7847531551863,-122.413604475311,8,2014,400,"Ellis","Street",37.784141,-122.414748,"2014 Tenderloin","8 2014 Tenderloin",1
6147,9610,"300 Block Of Judson  Avenue","West of Twin Peaks",37.7283632538023,-122.449978600006,12,2011,300,"Judson","Avenue",37.737955,-122.460363,"2011 West of Twin Peaks","12 2011 West of Twin Peaks",1
6148,9611,"1000 Block Of Bush  Street","Nob Hill",37.7894245853819,-122.414550157761,10,2018,1000,"Bush","Street",37.793044,-122.414461,"2018 Nob Hill","10 2018 Nob Hill",1
6149,9612,"200 Block Of Miramar  Avenue","Oceanview/Merced/Ingleside",37.7227489002303,-122.458186317767,6,2018,200,"Miramar","Avenue",37.718959,-122.462039,"2018 Oceanview/Merced/Ingleside","6 2018 Oceanview/Merced/Ingleside",1
