"","Buyout.Agreement.Date","Buyout.Amount","Address","Analysis.Neighborhood","point"
"3580","",NA,"138 Harold Avenue","Oceanview/Merced/Ingleside","POINT (-122.45307517119087 37.72089262288351)"
"3581","",NA,"2446 46th Avenue","Sunset/Parkside","POINT (-122.5045379405669 37.74089344796446)"
"3582","",NA,"660 De Haro Street","Potrero Hill","POINT (-122.40129727555772 37.761530419234475)"
"3583","",NA,"3070 Jackson Street","Pacific Heights","POINT (-122.44561923581884 37.79109663285787)"
"3584","",NA,"1528 Baker Street","Pacific Heights","POINT (-122.44322345689382 37.785140281217394)"
"3585","04/01/2019",18000,"324 Connecticut Street","Potrero Hill","POINT (-122.39750756098782 37.762165028491516)"
"3587","05/13/2022",40000,"1559 Mckinnon Avenue","Bayview Hunters Point","POINT (-122.38848545011518 37.73540803724868)"
"3588","",NA,"400 Monterey Boulevard","West of Twin Peaks","POINT (-122.44442894742451 37.731636488171056)"
"3589","",NA,"2044 Kirkham Street","Sunset/Parkside","POINT (-122.48272867897543 37.75960594715444)"
"3590","",NA,"524 Ashbury Street","Haight Ashbury","POINT (-122.4470467995783 37.77067148753684)"
"3591","",NA,"215 06th Avenue","Inner Richmond","POINT (-122.46458033889263 37.78452750419049)"
"3593","",NA,"1705 07th Avenue","Inner Sunset","POINT (-122.46368637726934 37.75650458876657)"
"3594","",NA,"10 leona Terrace","Presidio Heights","POINT (-122.44470944622982 37.78314785874015)"
"3595","05/24/2021",112000,"906 Lake Street","Inner Richmond","POINT (-122.46915468012268 37.78650750958165)"
"3596","",NA,"948 Jackson Street","Chinatown","POINT (-122.41063490427895 37.79555765431822)"
"3597","04/24/2018",22500,"1459 41st Avenue","Sunset/Parkside","POINT (-122.50053799846911 37.75957610752432)"
"3598","02/10/2022",90000,"932 Page Street","Haight Ashbury","POINT (-122.43616667573674 37.772374629800886)"
"3599","",NA,"288 27th Street","Noe Valley","POINT (-122.42666148812648 37.74694784890811)"
"3600","07/20/2017",17750,"126 Baker Street","Haight Ashbury","POINT (-122.44058437964051 37.77207782070065)"
"3601","07/06/2015",50400,"542 Clayton Street","Haight Ashbury","POINT (-122.4486638940714 37.77032753913965)"
"3602","",NA,"7 Walter Street","Castro/Upper Market","POINT (-122.43242593303944 37.76907242503915)"
"3603","",NA,"1305 Lombard Street","Russian Hill","POINT (-122.4230798535646 37.80151426770964)"
"3604","02/26/2019",53000,"30 Romain Street","Twin Peaks","POINT (-122.43893245230271 37.75603207355782)"
"3605","",NA,"627 San Bruno Avenue","Potrero Hill","POINT (-122.40516252661148 37.761684438393544)"
"3606","",NA,"855 Alabama Street","Mission","POINT (-122.41147433124843 37.758219080523695)"
"3608","07/01/2019",1394.86,"855 Pine Street","Nob Hill","POINT (-122.40987999823645 37.79095392363092)"
"3609","03/09/2016",5600,"3768 Fillmore Street","Marina","POINT (-122.43724843013464 37.805914374232074)"
"3610","02/25/2022",70700,"1461 Page Street","Haight Ashbury","POINT (-122.44485910061472 37.771207213720636)"
"3611","08/31/2015",70000,"2267 15th Street","Castro/Upper Market","POINT (-122.43471956871541 37.76575165062042)"
"3614","",NA,"226 Richland Avenue","Bernal Heights","POINT (-122.42232125749359 37.73586318449401)"
"3615","",NA,"437 Vermont Street","Potrero Hill","POINT (-122.40442790313935 37.7641763725224)"
"3616","",NA,"479 Andover Street","Bernal Heights","POINT (-122.41656721751083 37.737526021590334)"
"3617","",NA,"3534 Pierce Street","Marina","POINT (-122.44001617951776 37.80319019493413)"
"3618","12/06/2016",142517,"276 Day Street","Noe Valley","POINT (-122.42826259313178 37.742829805959936)"
"3619","",NA,"442 04th Avenue","Inner Richmond","POINT (-122.46205890625538 37.78027991605308)"
"3620","01/05/2016",20000,"381 Harkness Avenue","Visitacion Valley","POINT (-122.4044502077416 37.71776470740715)"
"3621","",NA,"1411 Golden Gate Avenue","Western Addition","POINT (-122.4338608320963 37.7793000699845)"
"3622","",NA,"4634 25th Street","Noe Valley","POINT (-122.44088370995374 37.74930613226557)"
"3623","",NA,"26 Day Street","Noe Valley","POINT (-122.42343170079019 37.7431225422164)"
"3624","06/05/2017",40000,"26 Hill Street","Mission","POINT (-122.42165685963401 37.75609759118714)"
"3625","08/10/2021",55000,"2484 Great Highway","Sunset/Parkside","POINT (-122.50670343640864 37.7401525858186)"
"3626","",NA,"1569 Grove Street","Lone Mountain/USF","POINT (-122.44240612860615 37.775343335355664)"
"3627","02/25/2022",46550,"1479 32nd Avenue","Sunset/Parkside","POINT (-122.49087151367632 37.75965574107945)"
"3628","",NA,"2387 25th Avenue","Sunset/Parkside","POINT (-122.48218934558209 37.74306727427778)"
"3629","",NA,"166 28th Street","Noe Valley","POINT (-122.42605325229367 37.74537756634639)"
"3630","09/23/2020",45000,"1203 23rd Avenue","Sunset/Parkside","POINT (-122.48157948393752 37.765138229574035)"
"3631","",NA,"17 Alpine Terrace","Haight Ashbury","POINT (-122.43772932500049 37.76997221163691)"
"3632","10/22/2019",49555.66,"3036 Fulton Street","Inner Richmond","POINT (-122.46418785361475 37.7736021980512)"
"3633","",NA,"337 10th Avenue","Inner Richmond","POINT (-122.4686983106659 37.782021861359055)"
"3634","",NA,"301 Crescent Avenue","Bernal Heights","POINT (-122.4184894204328 37.73500287311279)"
"3636","08/02/2018",15261.92,"206 03rd Avenue","Inner Richmond","POINT (-122.46130226996367 37.78476989059134)"
"3637","03/18/2022",50000,"567 Haight Street","Hayes Valley","POINT (-122.43151973199859 37.77194936366502)"
"3638","04/20/2016",86940,"22 Museum Way","Castro/Upper Market","POINT (-122.44100499596705 37.76506341418048)"
"3639","",NA,"1244 19th Street","Potrero Hill","POINT (-122.39493397216184 37.761421762100255)"
"3640","08/30/2016",38000,"1642 Palou Avenue","Bayview Hunters Point","POINT (-122.39174939558069 37.73448725642318)"
"3641","02/18/2020",NA,"521 Noe Street","Castro/Upper Market","POINT (-122.43273992588527 37.760691273591185)"
"3642","",NA,"751 38th Avenue","Outer Richmond","POINT (-122.49836358945986 37.774719444059265)"
"3643","",NA,"679 Andover Street","Bernal Heights","POINT (-122.41677932742758 37.735154291903235)"
"3645","05/16/2022",15000,"2655 Bush Street","Pacific Heights","POINT (-122.4409751047548 37.7860425684999)"
"3646","",NA,"3586 18th Street","Mission","POINT (-122.42349698833002 37.76161701444233)"
"3647","",NA,"812 Filbert Street","Russian Hill","POINT (-122.41296408885816 37.800960710818664)"
"3648","",NA,"3245 STeiner Street","Marina","POINT (-122.4376827553333 37.79934389465088)"
"3649","08/17/2018",13000,"2269 Sacramento Street","Pacific Heights","POINT (-122.4301977817933 37.790299299384195)"
"3651","",NA,"2730 23rd Street","Potrero Hill","POINT (-122.40707299991891 37.75456163162008)"
"3652","08/05/2019",48000,"3084 Market Street","Castro/Upper Market","POINT (-122.44315769497423 37.76084611944545)"
"3654","",NA,"20 Stanley Street","Oceanview/Merced/Ingleside","POINT (-122.4628335267408 37.71255307427406)"
"3655","02/07/2019",60000,"1264 Page Street","Haight Ashbury","POINT (-122.441602594816 37.771679207828036)"
"3656","",NA,"443 39th Avenue","Outer Richmond","POINT (-122.49985681878015 37.78049325061155)"
"3657","01/21/2021",48590,"1200 Sacramento Street","Nob Hill","POINT (-122.4127803845807 37.792569666131605)"
"3658","01/19/2022",23944.21,"530 scott Street","Hayes Valley","POINT (-122.43598467094134 37.77460487912086)"
"3659","10/22/2015",45000,"2287 43rd Avenue","Sunset/Parkside","POINT (-122.50160417996975 37.7440839882025)"
"3660","",NA,"1208 Bowdoin Street","Portola","POINT (-122.40849457235026 37.72084624218405)"
"3662","",NA,"72 Iris Avenue","Presidio Heights","POINT (-122.45193779544694 37.78464703127013)"
"3663","10/13/2020",25000,"1741 Greenwich Street","Marina","POINT (-122.42834512141023 37.79988754086098)"
"3664","",NA,"308 Duncan Street","Noe Valley","POINT (-122.4271833589757 37.7461134339064)"
"3666","05/27/2020",1e+05,"827 Corbett Avenue","Twin Peaks","POINT (-122.44322500026668 37.753546976764554)"
"3667","12/16/2019",12000,"2334 Funston Avenue","West of Twin Peaks","POINT (-122.46922030020389 37.74446113221516)"
"3669","06/04/2021",25000,"505 26th Avenue","Outer Richmond","POINT (-122.48584304951382 37.779880324139874)"
"3670","08/03/2018",18000,"3661 19th Street","Mission","POINT (-122.42498699131392 37.75986466925699)"
"3671","10/14/2016",25937.5,"385 Leland Avenue","Visitacion Valley","POINT (-122.41136857373067 37.71360612600781)"
"3672","03/20/2020",20000,"3475 26th Street","Mission","POINT (-122.41990436141798 37.748912464470926)"
"3673","",NA,"720 Moraga Street","Inner Sunset","POINT (-122.47034495841542 37.756410904679754)"
"3674","03/21/2022",60000,"1336 South Van Ness Avenue","Mission","POINT (-122.41625231328446 37.7517634107228)"
"3675","09/13/2016",36530.24,"2414 47th Avenue","Sunset/Parkside","POINT (-122.50564693740368 37.74139311739343)"
"3676","",NA,"1773 Green Street","Marina","POINT (-122.42824413652716 37.797031948422834)"
"3677","01/30/2019",45000,"2201 California Street","Pacific Heights","POINT (-122.43067093732046 37.78928849653805)"
"3678","09/25/2017",10476.7,"435 Laidley Street","Glen Park","POINT (-122.42998241178852 37.73659740629766)"
"3680","09/05/2018",27000,"73 Alpha Street","Visitacion Valley","POINT (-122.40328755751955 37.714863532639995)"
"3681","03/14/2022",22500,"2056 VAllejo Street","Marina","POINT (-122.43112543318901 37.795767537337994)"
"3682","12/07/2021",40000,"100 San Marcos Avenue","West of Twin Peaks","POINT (-122.46373509723757 37.74668506125253)"
"3684","",NA,"30 Santa Marina Street","Bernal Heights","POINT (-122.42252582686942 37.7403809497565)"
"3685","10/05/2020",7500,"1010 Hyde Street","Nob Hill","POINT (-122.41721764941106 37.790219861725205)"
"3686","",NA,"3188 16th Street","Mission","POINT (-122.42380428156147 37.76483433836085)"
"3687","",NA,"141 Marview Way","Twin Peaks","POINT (-122.44863453268854 37.75465221047676)"
"3688","10/06/2021",30200,"743 47th Avenue","Outer Richmond","POINT (-122.50801230648062 37.7744157999631)"
"3689","",NA,"333 Haight Street","Hayes Valley","POINT (-122.42774186550291 37.772429957861576)"
"3691","07/13/2015",36205,"227 Winfield Street","Bernal Heights","POINT (-122.41906811954297 37.74181357285637)"
"3692","05/19/2022",41021.84,"3220 23rd Street","Mission","POINT (-122.4169033057382 37.75397115127049)"
"3694","",NA,"1333 Jones Street","Nob Hill","POINT (-122.4145810934665 37.793544243608366)"
"3695","",NA,"99 Lupine Avenue","Presidio Heights","POINT (-122.44792502770422 37.78385041019356)"
"3696","04/27/2020",20155,"1185 South Van Ness Avenue","Mission","POINT (-122.4164207742165 37.754267579016336)"
"3697","",NA,"2057 15th Street","Castro/Upper Market","POINT (-122.43013419587409 37.766030208635364)"
"3698","02/14/2020",47000,"3270 21st Street","Mission","POINT (-122.42056485789782 37.75696812133995)"
"3700","",NA,"441 Dellbrook Avenue","Twin Peaks","POINT (-122.45375316690559 37.75389254488417)"
"3701","07/14/2021",78452.96,"198 Downey Street","Haight Ashbury","POINT (-122.44683486880751 37.765435021285825)"
"3703","10/28/2016",45000,"1141 Church Street","Noe Valley","POINT (-122.42750368691652 37.75267910035687)"
"3704","",NA,"3653 16th Street","Castro/Upper Market","POINT (-122.43426683172967 37.76414449052531)"
"3705","08/08/2019",12000,"4740 Balboa Street","Outer Richmond","POINT (-122.50956749022147 37.77518767170814)"
"3706","02/09/2016",8950,"12 College Terrace","Bernal Heights","POINT (-122.42594009310345 37.73440716655476)"
"3707","",NA,"35 Santa Cruz Avenue","Outer Mission","POINT (-122.465706378049 37.70865488100435)"
"3708","04/20/2018",17857.5,"1819 Golden Gate Avenue","Western Addition","POINT (-122.44059550502128 37.77844170847035)"
"3709","06/29/2016",25000,"1831 Union Street","Marina","POINT (-122.42946884821647 37.79783409746437)"
"3710","03/11/2022",65000,"725 Treat Avenue","Mission","POINT (-122.41353718344216 37.758531521096124)"
"3711","",NA,"3358 washington Street","Presidio Heights","POINT (-122.44832337335816 37.789848407777264)"
"3712","",NA,"935 Alabama Street","Mission","POINT (-122.41134837184005 37.756910197678586)"
"3713","11/08/2016",50000,"1440 15th Avenue","Inner Sunset","POINT (-122.47258380229482 37.7611118469912)"
"3714","",NA,"2 colby Street","Portola","POINT (-122.41505233562347 37.7308314309813)"
"3715","05/05/2022",35000,"2327 Taraval Street","Sunset/Parkside","POINT (-122.4910419865107 37.74235328843901)"
"3716","",NA,"1667 Oak Street","Haight Ashbury","POINT (-122.44676031085918 37.771927104964185)"
"3717","",NA,"542 vallejo Street","North Beach","POINT (-122.4063090754321 37.79892118287256)"
"3718","",NA,"4525 Cabrillo Street","Outer Richmond","POINT (-122.50715162876598 37.77337032478609)"
"3719","04/17/2020",50000,"3061 24th Street","Mission","POINT (-122.41320736201023 37.752537281768966)"
"3722","",NA,"218 Miramar Avenue","Oceanview/Merced/Ingleside","POINT (-122.45816414374342 37.72233359211352)"
"3723","09/01/2015",75000,"1473 Church Street","Noe Valley","POINT (-122.42698863298993 37.74732904266374)"
"3724","",NA,"356 Naples Street","Excelsior","POINT (-122.42955021235696 37.72309499994636)"
"3725","",NA,"442 Guerrero Street","Mission","POINT (-122.42413558617814 37.76407881406904)"
"3726","",NA,"1360 Montgomery Street","North Beach","POINT (-122.4044747187079 37.8016672231226)"
"3727","",NA,"83 Walter Street","Castro/Upper Market","POINT (-122.43231126254679 37.767876959990495)"
"3729","",NA,"1154 Capp Street","Mission","POINT (-122.41751658336618 37.74851365746389)"
"3730","",NA,"737 20th Avenue","Outer Richmond","POINT (-122.4789676970242 37.77397496290039)"
"3731","",NA,"5852 Mission Street","Outer Mission","POINT (-122.45184895229669 37.70912293573629)"
"3732","",NA,"392 Fair Oaks Street","Mission","POINT (-122.42389448998803 37.750484519997315)"
"3733","",NA,"1767 43rd Avenue","Sunset/Parkside","POINT (-122.50228189669836 37.75374397523691)"
"3734","11/02/2017",51090,"898 22nd Street","Potrero Hill","POINT (-122.39011270004958 37.75786456185095)"
"3735","02/23/2016",30000,"375 South Van Ness Avenue","Mission","POINT (-122.41766758353812 37.76724995837753)"
"3737","",NA,"1134 Lake Street","Inner Richmond","POINT (-122.47153614203648 37.786398774058576)"
"3738","03/19/2019",9168.39,"1460 Golden Gate Avenue","Western Addition","POINT (-122.43459658440274 37.77926103529591)"
"3740","",NA,"1487 20th Avenue","Sunset/Parkside","POINT (-122.47800379824918 37.76008475316285)"
"3741","",NA,"2595 Folsom Street","Mission","POINT (-122.41438109141585 37.75585420675235)"
"3742","",NA,"35 Tucker Avenue","Visitacion Valley","POINT (-122.40418368051796 37.715317148688904)"
"3743","06/18/2021",10000,"687 Huron Avenue","Outer Mission","POINT (-122.44921228441763 37.7123196039558)"
"3744","",NA,"1207 05th Avenue","Inner Sunset","POINT (-122.46219539781735 37.76591365600078)"
"3745","07/24/2020",60000,"1127 Hampshire Street","Mission","POINT (-122.4073819294113 37.75404680523495)"
"3746","",NA,"59 oakwood Street","Mission","POINT (-122.42491012442265 37.76056922090071)"
"3747","02/18/2021",22400,"1212 Ortega Street","Sunset/Parkside","POINT (-122.47653038395336 37.75240069582705)"
"3748","",NA,"2281 Sutter Street","Japantown","POINT (-122.43784041883183 37.78548484368649)"
"3749","",NA,"2787 Folsom Street","Mission","POINT (-122.41408963265734 37.75277588355441)"
"3750","",NA,"1201 43rd Avenue","Sunset/Parkside","POINT (-122.50301730635996 37.76422459515417)"
"3751","12/29/2017",40000,"790 Kansas Street","Potrero Hill","POINT (-122.40311262376963 37.75979924471825)"
"3753","",NA,"436 San Bruno Avenue","Potrero Hill","POINT (-122.40546246642319 37.76409778721954)"
"3754","07/15/2015",3500,"15 Red Rock Way","Noe Valley","POINT (-122.44157570048435 37.746508700498815)"
"3755","",NA,"3118 23rd Street","Mission","POINT (-122.41468507049196 37.7541045738076)"
"3756","02/25/2019",80000,"1455 South Van Ness Avenue","Mission","POINT (-122.41600347062177 37.74990621710292)"
"3758","",NA,"187 Beaver Street","Castro/Upper Market","POINT (-122.43696222402546 37.76558243167237)"
"3759","06/01/2018",30000,"831 Hampshire Street","Potrero Hill","POINT (-122.4078357167021 37.75879167593175)"
"3761","11/23/2020",NA,"2999 California Street","Pacific Heights","POINT (-122.44364899926344 37.78763967282429)"
"3763","11/19/2021",18000,"958 Madrid Street","Excelsior","POINT (-122.4375279796294 37.71540852060113)"
"3764","",NA,"136 parker Avenue","Presidio Heights","POINT (-122.45445880469669 37.7831197775227)"
"3766","",NA,"324 Coleridge Street","Bernal Heights","POINT (-122.4211782834653 37.741529545148694)"
"3768","05/02/2017",18500,"49 Hopkins Avenue","Twin Peaks","POINT (-122.44420426525383 37.75297340434014)"
"3769","07/05/2019",22428,"831 Brussels Street","Portola","POINT (-122.40337584915686 37.721904392149696)"
"3770","01/10/2020",12325.62,"734 Bush Street","Nob Hill","POINT (-122.40941045900847 37.79011461789762)"
"3771","",NA,"2100 Great Highway","Sunset/Parkside","POINT (-122.50766210414994 37.74716678653756)"
"3772","09/16/2020",10000,"226 06th Street","South of Market","POINT (-122.40679509490461 37.77940399045977)"
"3773","",NA,"4422 18th Street","Castro/Upper Market","POINT (-122.43858409217005 37.76070566973773)"
"3774","",NA,"1741 Mason Street","Russian Hill","POINT (-122.41242546054043 37.79957176628243)"
"3775","06/03/2019",52900,"252 10th Avenue","Inner Richmond","POINT (-122.4687475859713 37.78364066386409)"
"3776","",NA,"141 Broderick Street","Haight Ashbury","POINT (-122.43883682289865 37.771454661231566)"
"3777","03/02/2021",35000,"647 19th Avenue","Outer Richmond","POINT (-122.47801761721942 37.77571761968289)"
"3778","07/06/2015",20000,"233 Chestnut Street","North Beach","POINT (-122.40732315939677 37.80444112185831)"
"3779","",NA,"347 10th Street","South of Market","POINT (-122.41205483564784 37.77223114522456)"
"3780","02/17/2016",23000,"426 Vallejo Street","North Beach","POINT (-122.40447256644177 37.799152773348005)"
"3781","04/06/2021",25000,"1754 Mission Street","Mission","POINT (-122.42007172949934 37.768933272511205)"
"3782","",NA,"332 Divisadero Street","Haight Ashbury","POINT (-122.43723469363742 37.77255026748885)"
"3783","",NA,"2131 Vicente Street","Sunset/Parkside","POINT (-122.48974122039081 37.73867168221114)"
"3785","",NA,"376 ellis Street","Tenderloin","POINT (-122.41237026184038 37.784952494033575)"
"3786","07/19/2021",25000,"118 Albion Street","Mission","POINT (-122.42286897393572 37.764531873606124)"
"3788","",NA,"486 grove Street","Hayes Valley","POINT (-122.42454177616975 37.77767059590038)"
"3789","",NA,"318 02nd Avenue","Inner Richmond","POINT (-122.46008708266432 37.78273284275925)"
"3790","10/22/2018",15000,"1516 Jones Street","Nob Hill","POINT (-122.41484669164281 37.795202469068315)"
"3792","",NA,"149 Rome Street","Outer Mission","POINT (-122.44575958323367 37.71614512849295)"
"3793","",NA,"192 Collins Street","Presidio Heights","POINT (-122.45011563534716 37.78235115379476)"
"3794","04/06/2016",55000,"220 16th Avenue","Outer Richmond","POINT (-122.47531851818572 37.783892674674526)"
"3795","",NA,"2061 Powell Street","North Beach","POINT (-122.41154920824229 37.80358363248628)"
"3796","",NA,"929 Alabama Street","Mission","POINT (-122.411356617614 37.75699699177521)"
"3798","",NA,"1925 Ellis Street","Western Addition","POINT (-122.43839191835602 37.781585987322565)"
"3799","09/14/2015",48400,"3828 cesar chavez Street","Noe Valley","POINT (-122.42548314410736 37.74782092975954)"
"3801","12/19/2018",62654,"1163 South van ness Avenue","Mission","POINT (-122.41645129511568 37.754586538658415)"
"3802","04/20/2015",80000,"2447 Franklin Street","Marina","POINT (-122.4253856002296 37.79692256824902)"
"3803","",NA,"821 Broderick Street","Western Addition","POINT (-122.44012242647075 37.77782880930132)"
"3804","07/27/2015",19153,"216 Richland Avenue","Bernal Heights","POINT (-122.42260308975996 37.73587743333394)"
"3805","11/08/2017",6300,"147 Maynard Street","Excelsior","POINT (-122.42722370227189 37.72936913072454)"
"3806","",NA,"355 21st Avenue","Outer Richmond","POINT (-122.48056109792057 37.78116027404929)"
"3807","",NA,"139 Harold Avenue","Oceanview/Merced/Ingleside","POINT (-122.45314264239792 37.72076884467719)"
"3808","",NA,"2741 Hyde Street","Russian Hill","POINT (-122.42049715111453 37.80611987171777)"
"3809","",NA,"2728 22nd Street","Mission","POINT (-122.40904090328064 37.75605492374626)"
"3810","",NA,"201 Broderick Street","Haight Ashbury","POINT (-122.43896403016173 37.77208000689483)"
"3811","06/22/2018",28400,"155 Wood Street","Lone Mountain/USF","POINT (-122.44895488097129 37.781473276164945)"
"3813","",NA,"626 Madrid Street","Excelsior","POINT (-122.43436567282178 37.719632782958186)"
"3814","",NA,"88 Stanford Heights Avenue","West of Twin Peaks","POINT (-122.44994477842954 37.735576828735915)"
"3815","",NA,"102 Carl Street","Haight Ashbury","POINT (-122.45013402303361 37.76581160131662)"
"3816","",NA,"84 Valley Street","Noe Valley","POINT (-122.4241002453017 37.74469067389204)"
"3818","02/25/2022",25000,"2355 Leavenworth Street","Russian Hill","POINT (-122.41811316816538 37.80270768166488)"
"3819","",NA,"1901 Wawona Street","Sunset/Parkside","POINT (-122.48760168119377 37.73694149975835)"
"3820","",NA,"747 Ellis Street","Tenderloin","POINT (-122.41849952059957 37.78411614023042)"
"3821","",NA,"2359 21st Avenue","Sunset/Parkside","POINT (-122.47793790172443 37.743737505924784)"
"3822","",NA,"1370 noe Street","Noe Valley","POINT (-122.43149576380418 37.74708723170399)"
"3823","12/13/2021",1e+05,"182 Avila Street","Marina","POINT (-122.44070317490845 37.80234961325703)"
"3826","",NA,"261 Laguna Street","Hayes Valley","POINT (-122.42569923921558 37.77343008509659)"
"3828","10/20/2021",18300,"6038 Geary Boulevard","Outer Richmond","POINT (-122.48411592125552 37.780223212992915)"
"3829","",NA,"255 Mallorca Way","Marina","POINT (-122.43922612141132 37.80326142443504)"
"3830","",NA,"480 Warren Drive","Inner Sunset","POINT (-122.4626709305442 37.75855033926727)"
"3832","",NA,"1420 Taylor Street","Nob Hill","POINT (-122.41321436862421 37.79544044843088)"
"3833","10/28/2016",600,"776 Stanyan Street","Haight Ashbury","POINT (-122.45323179415716 37.767753918318945)"
"3834","05/31/2017",26000,"253 Chattanooga Street","Noe Valley","POINT (-122.42638069281921 37.75252920265451)"
"3835","01/27/2016",23000,"1660 Beach Street","Marina","POINT (-122.43655244069602 37.80463672585993)"
"3836","",NA,"2133 Grove Street","Lone Mountain/USF","POINT (-122.45174868844704 37.77415414522867)"
"3837","10/27/2016",7200,"1144 Pine Street","Nob Hill","POINT (-122.41446434727546 37.7904274196828)"
"3838","05/24/2018",8000,"43 Noe Street","Castro/Upper Market","POINT (-122.4334799801044 37.76843675591547)"
"3839","06/22/2022",1e+05,"3655 16th Street","Castro/Upper Market","POINT (-122.43430804580342 37.764141996009066)"
"3840","",NA,"338 Noe Street","Castro/Upper Market","POINT (-122.43308843924052 37.763566419309655)"
"3841","05/15/2018",12562,"2554 Pine Street","Pacific Heights","POINT (-122.43784961819127 37.78745119656136)"
"3842","08/20/2019",17000,"225 11th Avenue","Inner Richmond","POINT (-122.46991793457532 37.78407207691857)"
"3843","",NA,"1642 Church Street","Noe Valley","POINT (-122.42680926022012 37.74466783761638)"
"3844","01/19/2021",60000,"1000 North point Street","Russian Hill","POINT (-122.42378581897252 37.8053043555739)"
"3845","10/02/2017",60000,"1670 Clay Street","Russian Hill","POINT (-122.42055169090966 37.79248094835776)"
"3846","04/03/2018",11000,"124 Waverly Place","Chinatown","POINT (-122.40685404733357 37.794467975207525)"
"3847","",NA,"858 union Street","Russian Hill","POINT (-122.41344490056372 37.799943468794126)"
"3848","10/25/2016",30000,"973 Sanchez Street","Noe Valley","POINT (-122.42982656516395 37.753577043946876)"
"3849","04/12/2021",3660,"1520 Taylor Street","Nob Hill","POINT (-122.41339650193434 37.79634465460468)"
"3850","09/10/2018",75000,"1574 Church Street","Noe Valley","POINT (-122.42690392195529 37.74570173278964)"
"3852","",NA,"705 Oak Street","Hayes Valley","POINT (-122.43100259996567 37.77392919419166)"
"3853","06/03/2016",16812.53,"2751 Clay Street","Pacific Heights","POINT (-122.43833780136399 37.79016330470443)"
"3854","06/15/2021",0,"340 06th Street","South of Market","POINT (-122.4049450298595 37.777926567812585)"
"3855","",NA,"3640 26th Street","Mission","POINT (-122.42184617611878 37.74884943650089)"
"3856","05/14/2015",25000,"2935 Pacheco Street","Sunset/Parkside","POINT (-122.49163020435999 37.749807911803316)"
"3857","09/02/2016",8000,"3320 Scott Street","Marina","POINT (-122.44120666765998 37.800443012272986)"
"3858","09/21/2016",19390,"1860 Stockton Street","North Beach","POINT (-122.4096519581703 37.80286369311528)"
"3859","",NA,"69 Horace Street","Mission","POINT (-122.41436556438828 37.74980104814233)"
"3861","10/30/2018",30000,"1327 05th Avenue","Inner Sunset","POINT (-122.46204032853454 37.763692029275006)"
"3862","06/10/2015",54000,"258 Guerrero Street","Mission","POINT (-122.42441766456986 37.767074643942955)"
"3863","08/30/2021",45600,"1390 Hampshire Street","Mission","POINT (-122.40704361854998 37.74990151079146)"
"3865","07/30/2018",45000,"871 Rhode Island Street","Potrero Hill","POINT (-122.40197476304661 37.758811934963774)"
"3866","02/26/2018",20000,"432 HUGO Street","Inner Sunset","POINT (-122.46250022834235 37.765176431425765)"
"3868","",NA,"3935 17TH Street","Castro/Upper Market","POINT (-122.43370116496683 37.7625513204403)"
"3869","11/10/2015",20000,"242 San Jose Avenue","Mission","POINT (-122.42157350983352 37.75135233197244)"
"3870","05/19/2016",11780,"165 Pope Street","Excelsior","POINT (-122.44078750246474 37.713132223664516)"
"3871","",NA,"1322 34th Avenue","Sunset/Parkside","POINT (-122.49314521046598 37.76239240809957)"
"3872","09/30/2016",21400,"792 19th Avenue","Outer Richmond","POINT (-122.47775995944684 37.77306333134717)"
"3873","08/30/2018",52090.66,"1338 Stevenson Street","Mission","POINT (-122.42172887237402 37.77095603289943)"
"3874","03/16/2022",115000,"448 31st Avenue","Outer Richmond","POINT (-122.49121339019592 37.78078499294724)"
"3875","",NA,"2355 Leavenworth Street","Russian Hill","POINT (-122.41811316816538 37.80270768166488)"
"3876","07/17/2018",1500,"2210 Jackson Street","Pacific Heights","POINT (-122.43153960398827 37.792887725001236)"
"3877","",NA,"12 Brumiss Terrace","Excelsior","POINT (-122.45186356650018 37.708417540972796)"
"3878","07/21/2020",15250,"207 King Street","Mission Bay","POINT (-122.39182496539698 37.777885874620196)"
"3880","01/19/2021",60000,"7420 Geary Boulevard","Outer Richmond","POINT (-122.49895700724183 37.779534388039345)"
"3881","",NA,"1948 DIVISADERO Street","Pacific Heights","POINT (-122.44027457669816 37.787597194142556)"
"3883","",NA,"2645 30th Avenue","Sunset/Parkside","POINT (-122.48753522198614 37.73815006371796)"
"3884","04/19/2017",28000,"78 Lee Avenue","Oceanview/Merced/Ingleside","POINT (-122.45407193065068 37.71960231336304)"
"3885","06/06/2016",5890,"1743 35th Avenue","Sunset/Parkside","POINT (-122.49374040302027 37.754541713576806)"
"3886","",NA,"1588 Fulton Street","Lone Mountain/USF","POINT (-122.44289407663939 37.7762903374049)"
"3887","09/11/2015",6083.76,"597 Dolores Street","Mission","POINT (-122.42583603566352 37.759930019209925)"
"3888","",NA,"83 Mount Vernon Avenue","Outer Mission","POINT (-122.44429577018893 37.71582463835826)"
"3889","",NA,"862 York Street","Mission","POINT (-122.40875768204202 37.75828105228825)"
"3891","",NA,"530 Jones Street","Tenderloin","POINT (-122.41301500385684 37.786121141682905)"
"3892","07/05/2016",120000,"350 San Carlos Street","Mission","POINT (-122.41981100012104 37.757774893924704)"
"3893","",NA,"32 Roosevelt Way","Castro/Upper Market","POINT (-122.43737399324378 37.76679513264778)"
"3895","04/26/2021",26000,"2111 18th Street","Potrero Hill","POINT (-122.40349125492645 37.76213768430792)"
