"","Address","File.Date","Neighborhoods...Analysis.Boundaries","Location"
"22088","300 Block Of Arballo  Drive","07/22/2011","Lakeshore","(37.7201216986585, -122.48303711665423)"
"22089","0 Block Of Joost  Avenue","01/05/2005","West of Twin Peaks","(37.732384067069106, -122.43582545302543)"
"22090","0 Block Of Grijalva  Drive","05/12/2011","Lakeshore","(37.71692966225672, -122.4786492006316)"
"22091","2700 Block Of 44th  Avenue","11/17/2008","Sunset/Parkside","(37.73589561759055, -122.50205760337138)"
"22092","1600 Block Of Jennings  Street","01/06/2003","Bayview Hunters Point","(37.729854739085354, -122.3861356108348)"
"22093","500 Block Of Taylor  Street","07/12/2006","Tenderloin","(37.78771951652259, -122.41167071400257)"
"22094","700 Block Of 36th  Avenue","01/09/2004","Outer Richmond","(37.77483069103967, -122.49618705986947)"
"22096","100 Block Of Font  Boulevard","06/23/2010","Lakeshore","(37.71550144751338, -122.47367196490889)"
"22097","700 Block Of Clementina  Street","12/14/2001","South of Market","(37.77481400569879, -122.41139042779757)"
"22098","4700 Block Of Balboa  Street","04/29/2005","Outer Richmond","(37.77515217391381, -122.5096303804697)"
"22100","1600 Block Of Mason  Street","12/04/2003","Chinatown","(37.798630519063586, -122.41218945295432)"
"22101","0 Block Of Mason  Street","08/19/2005","Tenderloin","(37.78379798027039, -122.40919797065438)"
"22102","700 Block Of 45th  Avenue","01/14/2005","Outer Richmond","(37.77438993856642, -122.50581564028785)"
"22104","400 Block Of Turk  Street","04/11/2006","Tenderloin","(37.78250272711093, -122.41633843508814)"
"22105","1400 Block Of Larkin","12/20/2000","Nob Hill","(37.79124603345108, -122.41912897347056)"
"22106","500 Block Of 29th  Avenue","07/19/2000","Outer Richmond","(37.77893119205514, -122.48894450475544)"
"22107","100 Block Of Alhambra  Street","07/15/2002","Marina","(37.80198837832913, -122.4387952887303)"
"22108","3000 Block Of Sacramento  Street","03/14/2005","Pacific Heights","(37.78867547093072, -122.44311867510045)"
"22109","1100 Block Of Dolores  Street","10/05/2009","Noe Valley","(37.75144101067809, -122.42503832042037)"
"22111","0 Block Of Chumasero  Drive","08/30/2010","Lakeshore","(37.713278458267844, -122.47292413080851)"
"22112","200 Block Of Broad  Street","05/09/2006","Oceanview/Merced/Ingleside","(37.71316112116912, -122.46079671679787)"
"22113","700 Block Of North Point  Street","05/22/2007","Russian Hill","(37.80582589048814, -122.41954365822409)"
"22115","3700 Block Of 24th  Street","03/13/2001","Noe Valley",""
"22116","1200 Block Of Washington  Street","09/12/2005","Nob Hill","(37.794215205495476, -122.41382935730618)"
"22117","1000 Block Of Hollister  Avenue","07/12/2002","Bayview Hunters Point","(37.71921379546088, -122.39149118701428)"
"22119","1000 Block Of Bush  Street","10/17/2008","Nob Hill","(37.789424585381944, -122.41455015776054)"
"22120","400 Block Of Haight  Street","08/03/2005","Hayes Valley","(37.77221205469251, -122.42961801291128)"
"22121","4300 Block Of 17th  Street","08/30/2007","Castro/Upper Market","(37.762105027294595, -122.4415381574276)"
"22122","1400 Block Of Willard  Street","04/04/2011","Inner Sunset","(37.76329003539418, -122.45409473715942)"
"22123","0 Block Of Cambon  Drive","05/12/2011","Lakeshore","(37.71831044039053, -122.47451574684638)"
"22124","0 Block Of Webster  Street","06/18/2002","Hayes Valley","(37.770684806011, -122.42847317751783)"
"22126","800 Block Of 31st  Avenue","01/26/2006","Outer Richmond","(37.77320966410139, -122.49068429988864)"
"22127","4000 Block Of 25th  Street","09/18/2006","Noe Valley","(37.74989714638157, -122.43060851183048)"
"22128","1200 Block Of East Mariner  Drive","02/02/2004","Treasure Island","(37.8290873188018, -122.3743545967243)"
"22129","300 Block Of Orizaba  Avenue","10/13/2005","Oceanview/Merced/Ingleside","(37.714595802775946, -122.46260493212418)"
"22131","1400 Block Of 18th  Street","11/19/2001","Inner Sunset","(37.7608132936038, -122.47586032530134)"
"22132","800 Block Of Bush  Street","02/23/2004","Nob Hill","(37.78984566833571, -122.4112545583815)"
"22133","200 Block Of 09th  Street","02/04/2005","South of Market","(37.773984500846, -122.41189011423897)"
"22134","0 Block Of Loyola  Terrace","09/07/2005","Lone Mountain/USF","(37.77587778344894, -122.44892695861745)"
"22135","0 Block Of Aquavista  Way","02/23/2011","Twin Peaks","(37.75254662634311, -122.44928378938182)"
"22136","0 Block Of Stillings  Avenue","01/26/2001","West of Twin Peaks","(37.73440921378555, -122.44160372733474)"
"22137","3400 Block Of Alemany  Boulevard","07/12/2004","Oceanview/Merced/Ingleside","(37.71123225875795, -122.4630140536415)"
"22139","500 Block Of Hyde  Street","08/08/2008","Tenderloin","(37.78601836706214, -122.41638995162108)"
"22140","700 Block Of Larkin  Street","04/02/2009","Tenderloin","(37.78493850864148, -122.41785361583267)"
"22141","1300 Block Of Fell  Street","01/19/2007","Hayes Valley","(37.77374121027172, -122.44009929651673)"
"22142","1600 Block Of Waller  Street","10/24/2003","Haight Ashbury","(37.76851912879441, -122.45109886483748)"
"22143","500 Block Of South Van Ness  Avenue","04/07/2008","Mission","(37.76437736958609, -122.41740950130017)"
"22144","0 Block Of Mason  Street","03/04/2009","Tenderloin","(37.78379798027039, -122.40919797065438)"
"22145","500 Block Of Paris  Street","02/28/2005","Excelsior","(37.72004798011165, -122.4361705282223)"
"22147","0 Block Of Perry  Street","05/01/2003","Financial District/South Beach","(37.782684879467546, -122.39611924899195)"
"22148","1200 Block Of Hampshire  Street","04/06/2007","Mission","(37.752108423087755, -122.40721509568765)"
"22150","1000 Block Of Ingerson  Avenue","11/06/2002","Bayview Hunters Point","(37.7196444363502, -122.39391678729483)"
"22151","3300 Block Of Fillmore  Street","01/07/2011","Marina",""
"22152","500 Block Of Vidal","01/02/2001","Lakeshore","(37.71546454469027, -122.48248082879138)"
"22153","3300 Block Of Clay  Street","04/19/2001","Presidio Heights","(37.78896395202157, -122.44799189481151)"
"22154","1100 Block Of Market  Street","07/10/2002","South of Market","(37.77956997369328, -122.41359142040496)"
"22155","2300 Block Of North Point  Street","03/04/2004","Marina","(37.80245738003974, -122.44590255776275)"
"22157","0 Block Of Nobles  Alley","07/03/2003","North Beach","(37.80097758184145, -122.40737306418598)"
"22158","200 Block Of Clipper  Street","09/15/2008","Noe Valley","(37.74909303923755, -122.43053117269375)"
"22159","100 Block Of Carmel  Street","08/16/2004","Inner Sunset","(37.76080655075108, -122.44968849066906)"
"22160","4500 Block Of California  Street","07/03/2000","Inner Richmond","(37.78478402895607, -122.46616337720252)"
"22161","1600 Block Of 12th  Avenue","10/04/2002","Inner Sunset","(37.75737115778712, -122.46906685424067)"
"22162","1800 Block Of Steiner  Street","02/12/2002","Pacific Heights","(37.7863433747163, -122.43501171601338)"
"22163","300 Block Of 02nd  Avenue","01/05/2006","Inner Richmond","(37.78217498201302, -122.46006842636733)"
"22164","400 Block Of Ellington  Avenue","08/06/2001","Outer Mission","(37.711638619698114, -122.44746485301562)"
"22165","2200 Block Of Powell  Street","09/09/2011","North Beach","(37.80559315371873, -122.41190427630302)"
"22166","0 Block Of Jones  Street","06/02/2004","Tenderloin",""
"22167","0 Block Of Britton  Street","09/21/2001","Visitacion Valley","(37.71326708889626, -122.4122624041711)"
"22168","500 Block Of South Van Ness  Avenue","04/07/2005","Mission","(37.76437736958609, -122.41740950130017)"
"22169","700 Block Of Castro  Street","07/19/2001","Castro/Upper Market","(37.7564899309908, -122.43458384503842)"
"22171","0 Block Of Cityview  Way","07/02/1997","Twin Peaks","(37.748834828936126, -122.45080732405496)"
"22172","4000 Block Of 19th  Street","08/10/2011","Castro/Upper Market","(37.75938980143425, -122.43319115793338)"
"22173","910900 Block Of Geary  Street","03/25/2008","Tenderloin","(37.78599697277125, -122.4189134177382)"
"22174","1900 Block Of Pierce  Street","08/05/2005","Pacific Heights","(37.7880101819449, -122.43703231944328)"
"22175","300 Block Of Ellis  Street","07/07/2006","Tenderloin","(37.78497042324131, -122.41196096605621)"
"22176","1500 Block Of Golden Gate  Avenue","12/03/2007","Western Addition","(37.77904131791257, -122.43606282161194)"
"22177","100 Block Of Noe  Street","02/26/2002","Castro/Upper Market","(37.76626182953735, -122.43329368963401)"
"22178","1200 Block Of North Point  Street","12/05/2008","Treasure Island",""
"22179","300 Block Of Harvard  Street","08/01/2005","Excelsior","(37.725310190332415, -122.42012323972753)"
"22180","1400 Block Of 23rd  Avenue","10/06/2010","Sunset/Parkside","(37.760577356864296, -122.48121297448529)"
"22181","2000 Block Of Eddy  Street","11/06/2008","Western Addition","(37.78033273072913, -122.44086908067433)"
"22182","3300 Block Of 22nd  Street","10/06/2003","Mission","(37.7552190127247, -122.422308125547)"
"22183","2500 Block Of Pine  Street","08/24/2007","Pacific Heights","(37.787428705723535, -122.43775850897758)"
"22184","1000 Block Of Carolina  Street","01/12/2001","Potrero Hill","(37.755973320383696, -122.39986263742813)"
"22185","200 Block Of 27th  Street","10/03/2006","Noe Valley","(37.74696499810303, -122.42582902950357)"
"22186","1500 Block Of Fulton  Street","12/10/2009","Lone Mountain/USF","(37.7763305382556, -122.44231039046421)"
"22187","1300 Block Of Golden Gate  Avenue","02/11/2010","Western Addition","(37.77945936889728, -122.43277387180365)"
"22188","300 Block Of San Carlos  Street","08/27/2007","Mission","(37.75778645252173, -122.41976521554673)"
"22189","1400 Block Of Union  Street","10/20/2010","Russian Hill","(37.79865701837991, -122.42315955075934)"
"22190","400 Block Of Serrano  Drive","03/03/2011","Lakeshore","(37.71906512305384, -122.48046768003915)"
"22191","600 Block Of Union  Street","03/14/2007","North Beach","(37.800380279992694, -122.40969818232013)"
"22192","1500 Block Of Palou  Street","04/13/2001","Bayview Hunters Point","(37.733466388676014, -122.39000147292785)"
"22193","0 Block Of Stone  Street","05/23/2006","Chinatown","(37.79524690434938, -122.40925394729095)"
"22194","1000 Block Of Market  Street","03/07/2003","Tenderloin","(37.78172266098217, -122.41100935901368)"
"22196","500 Block Of Ofarrell  Street","06/26/2007","Tenderloin","(37.785686031545204, -122.41379344025961)"
"22197","600 Block Of 09th  Avenue","06/19/2002","Inner Richmond","(37.77615534364442, -122.46715334744434)"
"22198","900 Block Of Geary  Street","01/23/2003","Tenderloin","(37.78599697277125, -122.4189134177382)"
"22200","0 Block Of Onondaga  Avenue","03/24/2009","Outer Mission","(37.721730132194345, -122.43890495236312)"
"22201","1200 Block Of Ulloa  Street","11/12/2002","West of Twin Peaks","(37.741448588687575, -122.46956752519687)"
"22202","300 Block Of Pierce  Street","07/11/2000","Haight Ashbury",""
"22203","0 Block Of Bannam  Place","11/06/2003","North Beach","(37.80024641150467, -122.40782267487837)"
"22205","1300 Block Of South Van Ness  Avenue","04/02/2007","Mission","(37.751571938927405, -122.41618656584241)"
"22207","200 Block Of Maynard  Street","03/14/2001","Excelsior","(37.72945320091203, -122.42491117325598)"
"22209","200 Block Of Eddy  Street","12/16/2005","Tenderloin","(37.78403679722213, -122.41177344987453)"
"22210","400 Block Of 20th  Avenue","12/06/2002","Outer Richmond","(37.77937151058013, -122.47931187956954)"
"22211","700 Block Of 11th  Avenue","05/29/2002","Inner Richmond","(37.774191030970734, -122.46915968765563)"
"22212","2000 Block Of 15th  Street","04/11/2001","Castro/Upper Market","(37.766038397371105, -122.43037525948405)"
"22213","500 Block Of Ellsworth  Street","10/11/2000","Bernal Heights",""
"22214","0 Block Of Gough  Street","04/02/2007","Hayes Valley","(37.77338543703404, -122.42227071890147)"
"22215","700 Block Of Clayton  Street","04/24/2003","Haight Ashbury","(37.76793565613507, -122.44820141981307)"
"22216","2800 Block Of Baker  Street","02/25/2010","Marina","(37.79699188799036, -122.44564498470822)"
"22217","1500 Block Of Funston  Avenue","05/16/2005","Inner Sunset","(37.75968816285338, -122.4703042142263)"
"22218","1300 Block Of 40th  Avenue","10/30/2006","Sunset/Parkside","(37.7616390030313, -122.49956204317111)"
"22219","500 Block Of Monterey  Boulevard","04/20/2001","West of Twin Peaks","(37.73150479112984, -122.44807821939736)"
"22220","400 Block Of 43rd  Avenue","08/02/2002","Outer Richmond","(37.78041579757129, -122.50410862444458)"
"22221","200 Block Of 08th  Avenue","07/25/2005","Inner Richmond","(37.78378246459022, -122.46662854652867)"
"22222","3700 Block Of 17th  Street","04/23/2007","Castro/Upper Market","(37.762821274225125, -122.42961773837064)"
"22223","200 Block Of Sadowa  Street","02/15/2011","Oceanview/Merced/Ingleside","(37.71228464270765, -122.46079820933453)"
"22225","3000 Block Of Pine  Street","10/10/2001","Presidio Heights","(37.786391602211005, -122.44590947943551)"
"22226","400 Block Of 14th  Street","03/09/2001","Mission","(37.768073060115654, -122.42330543423493)"
"22227","600 Block Of 45th  Avenue","12/09/2005","Outer Richmond","(37.77625675414306, -122.5059531250006)"
"22228","500 Block Of Ofarrell  Street","08/02/2007","Tenderloin","(37.785686031545204, -122.41379344025961)"
"22230","700 Block Of 46th  Avenue","09/10/2000","Outer Richmond","(37.77434075599374, -122.50688934091527)"
"22231","365300 Block Of 10th  Street","09/23/2010","South of Market","(37.77182567840185, -122.41158757213555)"
"22232","1300 Block Of California  Street","05/24/2004","Nob Hill","(37.79106473326061, -122.41674582967742)"
"22233","300 Block Of 32nd  Avenue","05/15/2002","Outer Richmond","(37.782293829265114, -122.49242004070041)"
"22234","1400 Block Of Clay  Street","03/18/2003","Nob Hill","(37.79290862777956, -122.4169360703933)"
"22235","1800 Block Of Chestnut  Street","08/23/2004","Marina","(37.80113117155939, -122.4337799871257)"
"22236","700 Block Of 06th  Avenue","11/18/2002","Inner Richmond","(37.774496514845886, -122.46381236654308)"
"22237","100 Block Of Lucky  Street","05/10/2005","Mission","(37.75013716066536, -122.41328869924125)"
"22238","100 Block Of Hermann  Street","01/18/2002","Hayes Valley","(37.770555969897664, -122.42760347481544)"
"22239","700 Block Of Commercial  Street","05/29/2003","Chinatown","(37.79392656870494, -122.4054655336985)"
"22240","2100 Block Of 32nd  Avenue","03/08/2001","Sunset/Parkside","(37.747097782389545, -122.4899437724883)"
"22241","1100 Block Of Fell  Street","06/25/2002","Hayes Valley","(37.774169164958074, -122.43677547565406)"
"22242","3000 Block Of Van Ness  Avenue","10/25/2007","Russian Hill","(37.80366210736491, -122.42511658581616)"
"22243","300 Block Of Serrano  Drive","02/06/2007","Lakeshore","(37.71906512305384, -122.48046768003915)"
"22244","1300 Block Of Lombard  Street","03/14/2008","Russian Hill","(37.80145115483889, -122.42372740894734)"
"22246","600 Block Of Morse  Street","06/04/2002","Excelsior","(37.71138037003795, -122.44514054964327)"
"22247","200 Block Of Fair Oaks  Street","01/23/2001","Mission","(37.75270718577398, -122.42406231665343)"
"22249","0 Block Of 06th  Street","07/27/2005","South of Market","(37.78157622989487, -122.40946935271424)"
"22250","0 Block Of Scotland  Street","09/28/2000","Chinatown","(37.80147418470183, -122.4124020790351)"
"22252","500 Block Of Jackson  Street","11/21/2007","Chinatown","(37.79625652658556, -122.40477757087558)"
"22253","200 Block Of Mcallister  Street","04/19/2005","Tenderloin","(37.780562605064915, -122.41655134423662)"
"22254","1100 Block Of Fulton  Street","11/01/2002","Hayes Valley","(37.77717437516915, -122.43568550327737)"
"22255","200 Block Of Hyde  Street","10/15/2004","Tenderloin","(37.783050336475576, -122.41578820565589)"
"22257","2300 Block Of 26th  Avenue","10/03/2001","Sunset/Parkside","(37.74365364137744, -122.48325735139386)"
"22258","200 Block Of Moraga  Street","02/02/2001","Inner Sunset","(37.756595055982544, -122.46549603314145)"
"22259","400 Block Of Turk  Street","06/13/2005","Tenderloin","(37.78250272711093, -122.41633843508814)"
"22261","800 Block Of Clay  Street","08/06/2008","Chinatown","(37.79416788437857, -122.40705761176869)"
"22262","1300 Block Of Cole  Street","09/02/2003","Haight Ashbury","(37.762083715845776, -122.44920811766171)"
"22263","1300 Block Of Pine  Street","03/16/2010","Nob Hill","(37.78993753986038, -122.4180237285786)"
"22264","12191200 Block Of South Van Ness  Avenue","08/01/2007","Mission","(37.7531702798884, -122.41633949975795)"
"22265","400 Block Of Turk  Street","11/24/2003","Tenderloin","(37.78250272711093, -122.41633843508814)"
"22266","0 Block Of Teddy  Avenue","07/09/2002","Visitacion Valley","(37.713381388167846, -122.40328280558275)"
"22267","500 Block Of Ellis  Street","05/22/2003","Tenderloin","(37.78455299313462, -122.4152509681886)"
"22268","0 Block Of Mason  Street","11/02/2007","Tenderloin","(37.78379798027039, -122.40919797065438)"
"22269","100 Block Of Lombard  Street","04/20/2006","Financial District/South Beach","(37.803931400261426, -122.4041674786179)"
"22270","2200 Block Of Broadway  Street","02/13/2009","Pacific Heights","(37.794370075020694, -122.43409677769621)"
"22271","1200 Block Of Ortega  Street","07/21/2000","Sunset/Parkside","(37.752353852854114, -122.47685360828942)"
"22272","800 Block Of Sutter  Street","07/17/2000","Nob Hill","(37.78849307011257, -122.41436335693295)"
"22273","1200 Block Of Treat  Avenue","12/19/2006","Mission","(37.75016895664114, -122.41276287420636)"
"22274","200 Block Of Niagara  Avenue","04/06/2005","Outer Mission","(37.71844363382707, -122.44527605147913)"
"22275","300 Block Of Tompkins  Street","07/09/2002","Bernal Heights","(37.73712304517257, -122.41441303541613)"
"22276","100 Block Of Peabody  Street","12/24/2001","Visitacion Valley","(37.71039007904296, -122.40737347769304)"
"22277","500 Block Of 24th  Avenue","05/12/2006","Outer Richmond","(37.7791786834114, -122.48359367200968)"
"22278","600 Block Of 16th  Avenue","08/25/2010","Outer Richmond","(37.775809072458955, -122.47475370231777)"
"22279","1200 Block Of Waller  Street","10/15/2001","Haight Ashbury","(37.76939061549866, -122.44428371161996)"
"22280","1400 Block Of 17th  Avenue","07/28/2003","Inner Sunset","(37.76086076186643, -122.47478962396536)"
"22281","2000 Block Of Filbert  Street","03/20/2006","Marina","(37.7983345674943, -122.43321418453195)"
"22284","600 Block Of San Bruno  Avenue","06/10/2002","Potrero Hill","(37.761423231284105, -122.40515855576561)"
"22285","200 Block Of Garces  Drive","06/23/2010","Lakeshore","(37.71559066843509, -122.48081298968904)"
"22287","4100 Block Of 23rd  Street","02/17/2004","Noe Valley","(37.75282543365536, -122.43534701238222)"
"22288","100 Block Of 06th  Street","02/26/2010","South of Market","(37.7799504658727, -122.4074254519864)"
"22289","1400 Block Of Clayton  Street","04/06/2006","Castro/Upper Market","(37.75849726105907, -122.44530366073452)"
"22290","1600 Block Of Clement  Street","07/05/2000","Outer Richmond","(37.78238326245526, -122.47684043052989)"
"22291","600 Block Of Ofarrell  Street","10/28/2003","Tenderloin","(37.78549072994295, -122.41534695770982)"
"22292","100 Block Of Buena Vista  Avenue East","07/03/2000","Haight Ashbury","(37.7695563426725, -122.438702197457)"
"22293","4300 Block Of Ulloa  Street","11/22/2000","Sunset/Parkside","(37.739977678048426, -122.50288223775352)"
"22296","2900 Block Of Pine  Street","04/07/2004","Presidio Heights","(37.786585913084835, -122.4443841360445)"
"22297","400 Block Of Duncan  Street","02/22/2005","Noe Valley","(37.74590363434615, -122.43006164335884)"
"22298","0 Block Of Crestline  Drive","08/14/2007","Twin Peaks","(37.75017091407855, -122.44643757394684)"
"22299","300 Block Of Park  Street","05/07/2004","Bernal Heights","(37.73638264851551, -122.41799430800273)"
"22300","2900 Block Of California  Street","08/16/2006","Pacific Heights","(37.787751394138134, -122.44293139596056)"
"22301","200 Block Of Vernon  Street","05/28/2010","Oceanview/Merced/Ingleside","(37.7170016038987, -122.46802648413927)"
"22302","1200 Block Of Waller  Street","04/24/2002","Haight Ashbury","(37.76939061549866, -122.44428371161996)"
"22303","300 Block Of San Carlos  Street","12/12/2003","Mission","(37.75778645252173, -122.41976521554673)"
"22304","1500 Block Of Lombard  Street","08/30/2007","Marina","(37.801053290911504, -122.42701498920431)"
"22305","1600 Block Of Mcallister  Street","10/28/2002","Western Addition","(37.777690480929124, -122.43919621212981)"
"22306","300 Block Of 05th  Avenue","11/25/2003","Inner Richmond","(37.78202968390717, -122.46328060014038)"
"22308","1500 Block Of Shrader  Street","02/27/2003","Inner Sunset","(37.75999206338032, -122.45015328336774)"
"22309","0 Block Of Parkridge  Drive","11/20/2000","Twin Peaks","(37.752102196245154, -122.44583631037513)"
"22311","500 Block Of Mangels  Avenue","09/17/2002","West of Twin Peaks","(37.73306356715963, -122.45001718726547)"
"22312","200 Block Of Capp  Street","08/07/2001","Mission","(37.762706568708104, -122.41834837798135)"
"22315","3100 Block Of San Bruno  Avenue","08/20/2009","Portola","(37.72201885726749, -122.40127579118995)"
"22316","1400 Block Of Palou  Avenue","08/03/2011","Bayview Hunters Point","(37.732388186873685, -122.38810078542787)"
"22318","200 Block Of Greenwich  Street","11/19/2003","North Beach","(37.8029728590529, -122.40419891059507)"
"22320","200 Block Of Garces  Drive","05/12/2011","Lakeshore","(37.71559066843509, -122.48081298968904)"
"22321","500 Block Of Lisbon  Street","05/07/2001","Excelsior","(37.71966758229861, -122.43537191156082)"
"22324","900 Block Of Stanyan  Street","10/07/2008","Inner Sunset","(37.765908464355796, -122.45285272634942)"
"22325","3500 Block Of 17th  Street","01/17/2007","Mission","(37.76309935344067, -122.42509386232449)"
"22326","1200 Block Of Dolores  Street","09/01/2000","Noe Valley","(37.74902852430135, -122.42496824369725)"
"22327","1600 Block Of 10th  Avenue","04/08/2002","Inner Sunset","(37.7574658190472, -122.46692746820284)"
"22328","2200 Block Of 21st  Avenue","10/30/2000","Sunset/Parkside","(37.74575382766527, -122.47803062065508)"
"22329","1900 Block Of Filbert  Street","03/02/2000","Marina",""
"22331","1300 Block Of Page  Street","01/22/2010","Haight Ashbury","(37.77146457776444, -122.44301201482678)"
"22332","2800 Block Of Bush  Street","12/31/2009","Presidio Heights","(37.78565362525527, -122.44419506945155)"
"22333","0 Block Of Fernwood  Drive","03/12/2008","West of Twin Peaks","(37.73367924066354, -122.46110160595241)"
"22334","100 Block Of Farragut  Avenue","01/26/2005","Outer Mission","(37.71142293855461, -122.45115605619077)"
"22335","1400 Block Of Fulton  Street","12/22/2009","Western Addition","(37.7765395241426, -122.44066628114572)"
"22336","2800 Block Of Kirkham  Street","05/12/2009","Sunset/Parkside","(37.75919384781113, -122.49133068113663)"
"22338","700 Block Of 15th  Avenue","12/20/2007","Outer Richmond","(37.77399519418509, -122.47349540775744)"
"22339","400 Block Of Corbett  Avenue","08/14/2006","Castro/Upper Market","(37.757897568538525, -122.44563622355896)"
"22340","3500 Block Of 23rd  Street","06/10/2005","Mission","(37.75361482245585, -122.42227316897673)"
"22342","700 Block Of 10th  Avenue","07/03/2001","Inner Richmond","(37.774238921403644, -122.46809117488247)"
"22343","2300 Block Of Divisadero  Street","05/09/2005","Pacific Heights","(37.791193151690955, -122.4410694864081)"
"22344","700 Block Of Post  Street","08/08/2007","Tenderloin","(37.78755872346921, -122.41417469542912)"
"22347","100 Block Of 05th  Avenue","12/04/2000","Inner Richmond","(37.78592605865003, -122.46356047625126)"
"22348","2900 Block Of 24th  Street","07/14/2005","Mission","(37.752656741441804, -122.41143124299832)"
"22349","3600 Block Of 17th  Street","07/23/2002","Castro/Upper Market","(37.763001859038916, -122.42669771116626)"
"22350","600 Block Of 20th  Avenue","02/05/2004","Outer Richmond","(37.775613718582186, -122.47903902558078)"
"22351","1100 Block Of Alabama  Street","09/01/2011","Mission","(37.753485830687225, -122.41104139324008)"
"22352","1800 Block Of Clement  Street","09/15/2006","Outer Richmond","(37.78228457232308, -122.47897956878177)"
"22353","2300 Block Of 20th  Avenue","12/12/2000","Sunset/Parkside","(37.74393603780491, -122.47683009779902)"
"22354","2300 Block Of Leavenworth  Street","09/06/2005","Russian Hill","(37.80266835346912, -122.41805866085257)"
"22355","3400 Block Of 18th  Street","06/27/2006","Mission","(37.76176831745111, -122.420470448786)"
"22356","1100 Block Of Market  Street","08/11/2000","South of Market","(37.77956997369328, -122.41359142040496)"
"22357","1400 Block Of Oakdale  Street","01/22/2003","Bayview Hunters Point","(37.733000179958886, -122.38755034400141)"
"22358","2700 Block Of Harrison  Street","07/06/2000","Mission","(37.75342946207839, -122.41197354440062)"
"22359","800 Block Of Corbett  Avenue","08/02/2007","Twin Peaks","(37.75336935274297, -122.44336042212372)"
"22361","0 Block Of Gladys  Street","11/03/2010","Bernal Heights","(37.73945152156002, -122.42280413034258)"
"22362","0 Block Of Broad  Street","09/21/2000","Oceanview/Merced/Ingleside","(37.71320298236905, -122.45475537106668)"
"22363","600 Block Of Oak  Street","07/30/2008","Hayes Valley","(37.774076974081, -122.4300015298221)"
"22364","900 Block Of Rolph  Street","08/25/2004","Excelsior","(37.71114591221378, -122.42868661623277)"
"22366","1600 Block Of 30th  Avenue","06/15/2010","Sunset/Parkside","(37.75651793988294, -122.48845152285769)"
"22368","600 Block Of Ellis  Street","07/11/2008","Tenderloin","(37.78434229227833, -122.4168892438767)"
"22369","200 Block Of Santos  Street","10/22/2009","Visitacion Valley","(37.70912908634483, -122.41971543771004)"
"22370","200 Block Of Sagamore  Street","09/17/2009","Oceanview/Merced/Ingleside","(37.711371516939636, -122.4623166529841)"
"22372","300 Block Of Pierce  Street","08/03/2009","Haight Ashbury","(37.77308484335676, -122.43401560018349)"
"22373","1100 Block Of Church  Street","09/21/2004","Noe Valley",""
"22374","300 Block Of Ney  Street","02/11/2003","Excelsior","(37.73021954542966, -122.42443552857667)"
"22375","900 Block Of Rhode Island  Street","09/15/2000","Potrero Hill","(37.757761832093806, -122.40189454461544)"
"22376","500 Block Of Oak  Street","09/14/2009","Hayes Valley","(37.774284947465, -122.42836238118618)"
"22377","100 Block Of Turk  Street","07/22/2008","Tenderloin","(37.7831091974918, -122.41158828898432)"
"22380","1800 Block Of 21st  Avenue","06/01/2010","Sunset/Parkside","(37.75321382163824, -122.47855087634562)"
"22381","0 Block Of Federal  Street","03/29/2005","Financial District/South Beach","(37.783691071427235, -122.39176528036434)"
"22382","100 Block Of Jones  Street","02/26/2003","Tenderloin","(37.78253857251535, -122.4123162415553)"
"22383","1300 Block Of Haight  Street","07/01/2009","Haight Ashbury","(37.77031827554807, -122.4444970388784)"
"22384","2000 Block Of Golden Gate  Avenue","08/08/2001","Lone Mountain/USF","(37.77798786217023, -122.44433133619854)"
"22385","100 Block Of 06th  Street","03/17/2011","South of Market","(37.78075328427025, -122.40843473427739)"
"22386","1300 Block Of Bay  Street","07/17/2001","Marina","(37.803622476415434, -122.42922263751137)"
"22388","1800 Block Of Pacific  Avenue","04/28/2010","Pacific Heights","(37.79450242435726, -122.42569294766223)"
"22389","0 Block Of Winfield  Street","05/06/2002","Bernal Heights","(37.744488436564616, -122.41730424057066)"
"22390","300 Block Of Ralston  Street","06/07/2005","Oceanview/Merced/Ingleside","(37.7187764736463, -122.46894605746995)"
"22391","0 Block Of Crespi  Drive","03/28/2005","Lakeshore","(37.71964675899056, -122.47628143135229)"
"22392","300 Block Of Turk  Street","02/03/2003","Tenderloin","(37.78268974159542, -122.4148738201106)"
"22393","500 Block Of 16th  Avenue","03/29/2001","Outer Richmond","(37.77767188739856, -122.47488872619873)"
"22395","2700 Block Of Jackson  Street","12/06/2006","Pacific Heights","(37.79173689719328, -122.44032111853659)"
"22396","300 Block Of Garces  Drive","03/09/2010","Lakeshore","(37.7162186563832, -122.48244235372577)"
"22397","1800 Block Of Powell  Street","11/25/2008","North Beach","(37.801635237552944, -122.41111055494883)"
"22398","900 Block Of Hampshire  Street","04/03/2001","Mission","(37.75690682103353, -122.40767816603928)"
"22399","500 Block Of Hayes  Street","06/25/2008","Hayes Valley","(37.77657593362467, -122.42538852414047)"
"22400","2300 Block Of 14th  Avenue","07/17/2003","West of Twin Peaks","(37.74422408301127, -122.47030010500434)"
"22402","1200 Block Of Lombard  Street","12/26/2002","Russian Hill","(37.801658236700625, -122.4220796799933)"
"22403","600 Block Of Waller  Street","11/02/2005","Haight Ashbury","(37.7705970643042, -122.43479429722127)"
